Place Name,Place Id,State,District,City,Latitude,Longitude,Type,Short Description,Long Description,Did You Know,Main Image,Other Images
Red Fort,DL_NorthDelhi_Red Fort,Delhi,North Delhi,Chandni Chowk,28.6562,77.241,Iconic Places,Historic Fort in delhi acted as mainresidense of Mughal Emperors,"Its English name red fort is a translation of the Hindustani Lal Qila (Hindi - लाल क़िला) deriving from its red-sandstone walls. Both words are Arabic in origin, Lal meaning ""Red stone"" and Qalàh meaning ""Fortress"". As the residence of the imperial family, the fort was originally known as the ""Blessed Fort"" (Qila-i-Mubarak). Every year on India's Independence Day (15 August), the prime minister of India hoists the national flag at the Red Fort and delivers a nationally broadcast speech from its ramparts.","Ruler Shah Jahan charged remaking of the Red Fort on 12 May 1638, when he chose to move his capital from Agra to Delhi. Initially red and white,its configuration is credited to engineer it was remade between May 1639 and April 1648. :The Red Fort's creative engineering style, including its nursery configuration, affected later structures and gardens in Delhi, Rajasthan, Punjab, Kashmir, Braj, Rohilkhand and somewhere else. :Most of the gems and work of art of the Red Fort were plundered and taken during Nadir Shah's attack of 1747 and again after the bombed Indian Rebellion of 1857 against the British. :For instance, the Koh-I-Noor precious stone, the jade wine cup of Shah Jahan and the crown of Bahadur Shah II are on the whole right now situated in London. :On 15 August 1947, the main head administrator of India, Jawaharlal Nehru raised the Indian national banner over the Lahore Gate. :It was assigned an UNESCO World Heritage Site in 2007 as a major aspect of the Red Fort Complex.",https://i.imgur.com/FS3ttE8.jpg,https://i.imgur.com/G3yKSea.jpg https://i.imgur.com/XvlRFDn.jpg https://i.imgur.com/EllPJie.jpg https://i.imgur.com/VeMmj1I.jpg https://i.imgur.com/YhqQasX.jpg https://i.imgur.com/Gfekdyt.jpg 
Jama Masjid,DL_NorthDelhi_JamaMasjid,Delhi,North Delhi,Chandni Chowk,28.6507,77.2334,Religious Siites,One of The Largest Masjid(Mosque) in India Made by Mughal Emperor Shah Jahan,"The mosque and Red Fort were wanted to be a bigger arranged city named Shahjahanabad. The mosque is considered as the best among all mosques worked during the Mughal Empire as it has the best blend of marble and limestone. The mosque has three extraordinary doors, four towers and two 40-meter tall minarets built of pieces of red sandstone and smooth white marble. The patio can oblige 25,000 admirers and possesses 408 square feet.The mosque is based on a red sandstone yard.","Mughal Emperor Shah Jahan constructed the Jama Masjid somewhere in the range of 1650 and 1656. It was developed by in excess of 5000 specialists. It was initially called Masjid e Jahan Numa. :The notorious mosque is one of the last landmarks worked under Mughal Emperor Shah Jahan. :This Masjid likewise Faced Terrorist attacks .On the fourteenth of April in 2006, there were two blasts which came not long after Friday supplications and happened in quick progression. Anyway it was indistinct, how the impacts occurred. :Also On the fifteenth of September in 2010, two Taiwanese vacationers were harmed after shooters on a bike started shooting at a transport bus stopped close to door number three of the mosque. After the assault, the police confined 30 individuals to address and the territory was transformed into a post on the grounds that police officers were intensely conveyed.",https://i.imgur.com/5ewYSSV.jpg,https://i.imgur.com/l7GHr3O.jpg https://i.imgur.com/HP17qqq.jpg https://i.imgur.com/wQn2Tn8.jpg https://i.imgur.com/Z1Jnfen.jpg https://i.imgur.com/JKh27H0.jpg https://i.imgur.com/ggMADKQ.jpg
Jantar Mantar,DL_NewDelhi_JantarMantar,Delhi,New Delhi,Sansad Marg,28.6271,77.2166,Education & History,An observatory which was used to compile astronomical tables,"The Delhi Jantar Mantar has 13 architectural astronomy instruments. It was designed in order to compile the astronomical tables and to predict the movement and timings of the sun, the moon and the planets.The instruments preserved in the observatory were made of brick rubbles and then plastered with lime. As the time progressed, the instruments had undergone several repairs and restoration. But major alterations were far from them.","The Samrat Yantra, the Jai Prakash, Ram Yantra, and Misra Yantra are the principal instruments preserved in the observatory. A temple dedicated to Bhairava is also near the building which was built by Maharaja Jai Singh II. :The Jantar Mantar in Delhi had its construction started in 1724. It came into existence in 1724 but by 1867, the observatory had faced a considerable amount of decays. :After the construction of the Jantar Mantar in Delhi, Maharaja Jai Singh II had built more observatories in Jaipur, Ujjain, Varanasi, and Mathura. :Its height is 723 feet (220 m).",https://i.imgur.com/8UAqCat.jpg,https://i.imgur.com/q7pRNd0.jpg https://i.imgur.com/t667B6h.jpg https://i.imgur.com/4eJM0mx.jpg https://i.imgur.com/mzhjvh1.jpg https://i.imgur.com/OX2qXv3.jpg https://i.imgur.com/QH8bMZL.jpg 
"Swaminarayan Akshardham",DL_EastDelhi_SwaminarayanAkshardham,Delhi,East Delhi,Pandav Nagar,28.6127,77.2773,Religious Sites,"Stunning modern Hindu temple full of decorations, miniatures, sculptures, and artistic beauties","The principle fascination of the Swaminarayan Akshardham complex is the Akshardham Mandir. It is complicatedly cut with verdure, fauna, artists, performers, and deities. Designed by Vikram Lall as per the guidelines of Maharishi Vastu Architecture, it includes a mix of engineering styles across India. It is totally built from Rajasthani pink sandstone and Italian Carrara marble.Each murti is made of paanch dhaatu or five metals in understanding to Hindu convention. The sanctuary additionally houses the murtis of Sita Ram, Radha Krishna, Shiv Parvati, and Lakshmi Narayan.","About 60 acres of land was allowed by the Delhi Development Authority and 30 acres of land by the Uttar Pradesh Government for the erection of this sanctuary. :The development began in 2000 and was finished inside five years. Remaining on the banks of River Yamuna, Akshardham Temple was opened to general society on sixth November 2005. :The sanctuary was introduced by Pramukh Swami Maharaj within the sight of famous characters, for example, Dr. A.P.J. Abdul Kalam, L.K. Advani, B.L. Joshi, and Dr. Manmohan Singh – the then Prime Minister of India. :One of the greatest sanctuaries in Delhi just as in India, this profound spot was developed by BAPS. In excess of 8000 volunteers took an interest and 300,000,000 volunteer hours were spent in the development of this sanctuary.",https://i.imgur.com/qucsQOR.jpg,https://i.imgur.com/NFDuyif.jpg https://i.imgur.com/IX80tna.jpg https://i.imgur.com/cj9jOVr.jpg https://i.imgur.com/6Kvwn2Y.jpg https://i.imgur.com/AhSNu7Y.jpg https://i.imgur.com/6CbFAgU.jpg
"Humayun's Tomb",DL_SouthDelhi_Humayun'sTomb,Delhi,South Delhi,Mathura Road,28.5933,77.2507,Iconic Places,One of the most magnificent tombs built in Delhi during the Mughal rule expressing Persian architechture,"Maqbera e Humayun or the Humayun’s Tomb in Delhi is a major historical site in India and also one of the best places to visit in north Delhi. It is the tomb of the famous Mughal emperor of India Humayun. It was commissioned by the first wife of Humayun who was the chief consort as well, Empress Bega Begum in 1569-70. The design of the tomb was born in the heart of Mirak Mirza Ghiyas- a persial architect invited by Bega Begum herself. Located in Nizamuddin East in Delhi, the tomb is known as the first garden tomb found on the Indian subcontinent, placed very close to the Dina-panah citadel.","UNESCO declared it as a World Heritage Site in 1993 and since then its reputation began to flourish. Near the tomb, there are several smaller monuments from the main entrance to the West that include one that even built prior to the main tomb. :Isa Khan Niyazi’s tomb is that one who was an Afghan noble in Sher Shah Suri’s court of the Suri dynasty. Humayun’s tomb complex accommodates the main tomb of the Emperor Humayun along with the graves of Bega Begum, Hamida Begum and Dara Shikoh as well as other significant Mughal members. :An inimitable leap in Mughal architecture is displayed along with the Persian model garden that is the Charbagh garden. :The construction of the tombs was started in 1565, almost nine years after his death. The completion of the tomb was in 1572. The memorial built for Humayun symbolizes the unpredictable symbiosis between Humayun and his wife Bega Begum who was so grieved over the death of her husband finally decided to create such an astonishing remembrance. :Humayun’s tomb is made of red sandstone and white marbles and the measurements say it is 47 meters high and 91 meters wide.",https://i.imgur.com/B4RlvLr.jpg,https://i.imgur.com/uPiKxfh.jpg https://i.imgur.com/Y6DrH5S.jpg https://i.imgur.com/qvgaUEF.jpg https://i.imgur.com/x5HL5qe.png https://i.imgur.com/2Lr085n.jpg https://i.imgur.com/fpALQNS.png https://i.imgur.com/oyQpTCD.jpg
Gandhi Smriti,DL_NewDelhi_GandhiSmriti,Delhi,New Delhi,New Delhi,28.6019,77.2144,Education & History,A museum dedicated to Mahatma Gandhi,"Gandhi Smriti Museum, also known as Gandhi Smriti, is a museum dedicated to the father of the nation Mahatma Gandhi. Situated on the Tees January Road in New Delhi, Gandhi Smriti Museum was formerly known as Birla Bhavan or Birla House.Birla Bhavan is the place where Gandhi Ji spent the last 144 days of his life and was assassinated by Nathuram Godse on 30th January 1948. Originally the house of Birlas, the Indian business family, it is now known as the Eternal Gandhi Multimedia Museum.","The 12-bedroom house was built in 1928 by Ghanshyamdas Birla. Sardar Patel and Mahatma Gandhi were frequent guests of the Birlas. :During his final stay, Mahatma Gandhi stayed here from 9 September 1947 to 30 January 1948 when he was assassinated. Jawaharlal Nehru wrote to Ghanshyamdas Birla seeking to turn part of the Birla House in to a memorial. :The Birla House was purchased from KK Birla, in 1971, by the Government of India, after protracted and tough negotiations, in which, according to some reports, he even included the cost of fruit trees in the sale price. Eventually KK Birla, sold the property to the Government for Rs 5.4 million and seven acres of urban land in exchange, which was considered a very profitable deal. :Birla House opened for the public on 15 August 1973, renamed the Gandhi Smriti (or Gandhi Remembrance). The museum in the building houses a number of articles associated with Gandhi's life and death. Visitors can tour the building and grounds, viewing the preserved room where Gandhi lived and the place on the grounds where he was shot while holding his nightly public walk.",https://i.imgur.com/zQGU1X5.jpg,https://i.imgur.com/hpC0iYf.jpg https://i.imgur.com/db53nx5.jpg https://i.imgur.com/PBc9wbQ.jpg https://i.imgur.com/fckgdTs.jpg 
"Qutab Minar",DL_SouthWestDelhi_QutabMinar,Delhi,South West Delhi,Rajpath,28.5245,77.1855,Iconic Places,The tallest minaret in the world built of bricks,"A valuable, protected structure of India is Qutub Minar. It is a part of the Qutub Complex which was declared as a UNESCO World Heritage Site and it is also one of the famous places to visit in North Delhi. Qutub Minar is made of red sandstone and marble making its height up to 73 meters and gives a tower like structure to it which is consisted of five stories. Another main feature of it is the spiral staircase of 379 steps. Qutub Minar’s founder was the legendary Qutub al-Din Aibak who was behind the existence of the Delhi Sultanate. The construction of the structure was started in 1192 and it was completed by Aibak’s successor Iltumish in 1220.","It consists of a rectangular courtyard enclosed by cloisters, erected with the carved columns and architectural members of 27 Hindu and Jaina temples, which were demolished by Qutub-ud-Din Aibak as recorded in his inscription on the main eastern entrance. :The Iron Pillar in the courtyard bears an inscription in Sanskrit in Brahmi script of fourth century A.D., according to which the pillar was set up as a Vishnudhvaja (standard of god Vishnu) on the hill known as Vishnupada in memory of a mighty king named Chandra. A deep socket on the top of the ornate capital indicates that probably an image of Garuda was fixed into it. :Qutab Minar was begun after the Quwwat-ul-Islam Mosque, which was started around 1192 by Qutb-ud-din Aibak, first ruler of the Delhi Sultanate. The mosque complex is one of the earliest that survives in the Indian subcontinent. The minaret is named after Qutb-ud-din Aibak, or Qutbuddin Bakhtiar Kaki, a Sufi saint. :The Minar is surrounded by several historically significant monuments of Qutb complex. The nearby pillared cupola known as ""Smith's Folly"" is a remnant of the tower's 19th century restoration, which included an ill-advised attempt to add some more storeys. :The minar's topmost storey was damaged by lightning in 1369 and was rebuilt by Firuz Shah Tughlaq, who added another storey. In 1505, an earthquake damaged Qutub Minar; it was repaired by Sikander Lodi. :The cupola was taken down in 1848, under instructions from The Viscount Hardinge, then Governor General of India. It was reinstalled at ground level to the east of Qutb Minar, where it remains. It is known as ""Smith's Folly"".",https://i.imgur.com/xlDSn3u.jpg,https://i.imgur.com/8g2GJl0.jpg https://i.imgur.com/V2Eis3O.jpg https://i.imgur.com/XJtPkNw.jpg https://i.imgur.com/raEJRP4.jpg https://i.imgur.com/zDVqt2W.jpg https://i.imgur.com/OY1IBae.jpg https://i.imgur.com/75lxLdx.jpg
India Gate,DL_NorthEastDelhi_IndiaGate,Delhi,North East Delhi,North East delhi,28.6129,77.2295,Iconic Places,India Gate is a war memorial located astride the Rajpath,India Gate has its original name as All India War Memorial that was built in order to commemorate the 82000 soldiers of the Indian Army who lost their lives during the First World War happened from 1914 to 1921 as well as in the Third Anglo-Afghan War. India Gate is located on the eastern edge of the ceremonial axis of Delhi and it was formerly called Kingsway. The names of around 13300 servicemen including some soldiers and officers from the United Kingdom are displayed on the gate. The architecture of India Gate is world famous as the triumphal arch that looks like the Arch of Constantine.,"It stands as a memorial to 70,000 soldiers of the British Indian Army who died in between 1914–1921 in the First World War, in France, Flanders, Mesopotamia, Persia, East Africa, Gallipoli and elsewhere in the Near and the Far East, and the third Anglo-Afghan War. 13,300 servicemen's names, including some soldiers and officers from the United Kingdom, are inscribed on the gate. The designer of the memorial was Sir Edwin Lutyens. :After the Bangladesh Liberation War in 1971, there was a simple structure including a black marble plinth with a reversed rifle which was capped by a war helmet and bounded by four eternal flames built under the Memorial Archway. This one was the Amar Jawan Jyoti or the Flame of the Immortal Soldier. :The construction of India Gate was started in 1921 and completed in 1931. The architectural dimensions of the structure say that it is 42 meters tall and 9.1 meters wide. It was constructed using yellow and red sandstone along with granite. :In 2014, the Government announced the plans to construct a National War Memorial around the canopy as well as a National War Museum at the park nearby. :India Gate Parade or the Republic Day Parade is the most ceremonious and prestigious event happen in front of India Gate every year. On January 26th, each year, India commemorates the day it became a republic with an esteemed presence of many national as well as dignified guests from other countries.",https://i.imgur.com/2H7Pj4R.jpg,https://i.imgur.com/J8tmYBo.jpg https://i.imgur.com/WoVYoy1.jpg https://i.imgur.com/TRCqBFP.jpg https://i.imgur.com/U1QVfxS.jpg https://i.imgur.com/elD9OsU.jpg https://i.imgur.com/qtqKxkH.jpg https://i.imgur.com/W4ZZ3n0.jpg https://i.imgur.com/pXIq01A.jpg
Lotus Temple,DL_NorthEastDelhi_LotusTemple,Delhi,North East Delhi,Bahapur,28.5535,77.2588,Religious Sites,A temple dedicated to no god look alike floating half open lotus,"The Lotus Temple is a major landmark of India that has been attracting tourists from all over the world because of its architecture and beauty. The construction of the temple was finished in 1986. It resembles the lotus flower but created in white colour. The Lotus Temple is open to all people, regardless of region and caste. The structure is built of 27 free-standing marble clad petals in clusters of three to form nine sides. There are nine doors onto the central hall that can accommodate around 2500 people at a time. It has won numerous awards for its inimitable and beautiful architecture.","There are the sacred writings of Bahai Faith as well as of other religions can be read or chanted but reading non-scriptural texts and performing ritualistic ceremonies are forbidden even though there is a fixed set of the pattern for worship services. :As all Bahai Houses of Worship follow certain architectural elements, the Lotus Temple also has some of them in its structure. The Bahai scripture says that there should not be any pictures, statues of images displayed inside the house of worship. :The architect of the temple was Fariborz Sahba who was an Iranian. The construction was started in 1976. :The Baháʼí Faith teaches that a Baháʼí House of Worship should be a space for people of all religions to gather, reflect, and worship. Anyone may enter the Lotus Temple irrespective of religious background, sex, or other distinctions, as is the case with all Baháʼí houses of worship. The sacred writings of not only the Baháʼí faith but also other religions can be read and/or chanted, regardless of language; on the other hand, reading nonscriptural texts is forbidden, as are delivering sermons or lectures, or fund-raising. :Musical renditions of readings and prayers can be sung by choirs, but no musical instruments can be played inside. There is no set pattern for worship services, and ritualistic ceremonies are not permitted.",https://i.imgur.com/XlCjnXD.jpg,https://i.imgur.com/hCw5rFg.jpg https://i.imgur.com/X0emOwA.jpg https://i.imgur.com/izR7SHN.jpg https://i.imgur.com/jlWcnfb.jpg https://i.imgur.com/v9TbsdT.jpg https://i.imgur.com/ha3x4Mh.jpg https://i.imgur.com/2VtPHC5.jpg
Rashtrapati Bhavan,DL_CentralDelhi_RashtrapatiBhavan,Delhi,Central Delhi,President's Estate,28.6143,77.1994,Education & History,Official residence of the President of India,"The Presidential Residence, formerly known as the Viceroy’s House is the famous Rashtrapathi Bhavan in Delhi. It is the home of the President of India, officially. It is located at the western end of Rajpath. The mansion or the main building accommodates the president’s official residence, halls, guest rooms and offices. The entire 130 hectare President Estate that includes huge gardens known as the Mughal Gardens, large open spaces, a residence of office staff and bodyguards, stables etc is the major portion of it the mansion. It is considered to be the largest residence of a head of state in the world in terms of area.","The Governor-General of Fort William resided in Belvedere House, Calcutta, until the early nineteenth century, when Government House, Calcutta (now Raj Bhavan, Kolkata) was constructed. :Lord Wellesley, who is reputed to have said that ‘India should be governed from a palace, not from a country house’, ordered the construction of a grand mansion between 1799 and 1803 and in 1854, the Lieutenant Governor of Bengal took up residence there. :When Chakravarti Rajagopalachari assumed the office as the first Indian-born Governor General of India and became the occupant of this building he preferred to stay in a few rooms which is now the family wing of the President and converted the then Viceroy's apartments into the Guest Wing where visiting heads of state stay while in India. :On 26 January 1950, when Rajendra Prasad became the first President of India and occupied this building, it was renamed as Rashtrapati Bhavan – the President's House.",https://i.imgur.com/kQLbTCX.jpg,https://i.imgur.com/muuxg9K.jpg https://i.imgur.com/RHiNZut.jpg https://i.imgur.com/non2eAw.jpg https://i.imgur.com/kQLbTCX.jpg https://i.imgur.com/uxrJPY7.jpg https://i.imgur.com/BulZicU.jpg
Raj Ghat,DL_NorthEastDelhi_RajGhat,Delhi,North East Delhi,New Delhi,28.6406,77.2495,Iconic Places,Raj Ghat is a memorial dedicated to Mahatma Gandhi,"Raj Ghat is a memorial dedicated to Mahatma Gandhi in Delhi, India. Originally it was the name of a historic ghat of Old Delhi (Shahjahanabad). Later the memorial area was also called Raj Ghat. It is a black marble platform that marks the spot of Mahatma Gandhi's cremation, Antyeshti (last rites) on 31 January 1948, a day after his assassination. It is left open to the sky while an eternal flame burns at one end. Several other samadhis or cremation spots of other famous leaders can be found in the vicinity of Raj Ghat. ","Raj Ghat is a memorial to Mahatma Gandhi. It’s located not far from the river Yamuna and was originally the name of a historic ghat. There was the ‘Raj Ghat Gate’ of the walled city, opening at Raj Ghat on the Yamuna. Eventually, the memorial area was also called Raj Ghat. :It was here where Mahatma Gandhi’s last rites were performed on January 31, 1948, a day after his death.",https://i.imgur.com/IP0aMx7.jpg,https://i.imgur.com/oeKOLEw.jpg https://i.imgur.com/5q2MSMm.jpg https://i.imgur.com/W9dU0S6.jpg https://i.imgur.com/zsNkBvb.jpg https://i.imgur.com/9TRDg3t.jpg https://i.imgur.com/xeu6DzU.jpg 
Nehru Planetarium,DL_SouthWestDelhi_NehruPlanetarium,Delhi,South West Delhi,New Delhi,28.6038,77.1981,Education & History,One of the 5 Planetariums named after Jawaharlal Nehru-First Prime Minister of India,"Nehru Planetarium Delhi is one of the five planetariums named after India’s first Prime Minister Jawaharlal Nehru. The Sky Theatre shown at Jawaharlal Nehru Planetarium are very popular and attracts more than 200,000 visitors per year. The sky theatre is a dome shaped theatre. It shows information on constellations and planets. Visuals such as cartoons, paintings, computer animations, video clippings and special effects are liberally used in the programmes at the sky theatre. It now has 'Definiti optical star projector ""Megastar"" that can show 2 million stars.","It was earlier the official residence of Prime Minister JawaharLal Nehru, which is now converted into a museum in his fond memories. :The museum was built as an initiative from the Jawaharlal Nehru Memorial Fund, that was set up in 1964. :With the aim of promoting Astronomy education in India, the Jawaharlal Nehru fund took the task of setting up the Nehru Planetarium. The planetarium was inaugurated by the then Prime Minister Smt Indira Gandhi on 6th February 1984. :This place is not only an attraction for the astronomers but also kids who throng to get up close and personal with the planets and stars in the sky.",https://i.imgur.com/jmDSD52.png,https://i.imgur.com/G1AeoLe.jpg https://i.imgur.com/S74Oy00.jpg https://i.imgur.com/e2S29NT.jpg https://i.imgur.com/hba7v00.jpg 
National Museum  ,DL_NorthEastDelhi_NationalMuseum  ,Delhi,North East Delhi,Rajpath,28.6118,77.2193,Education & History,One of the largest museums holding a variety of articles ranging from pre-historic era to modern works of art,"National Museum of India, is one of the largest museums in India. Established in 1949, it holds a variety of articles ranging from pre-historic era to modern works of art. The museum has around 200,000 works of art, both of Indian and foreign origin, covering over 5,000 years. The museum has various artefacts from the Harappan Civilization also known as Indus Valley Civilization. It has the world's most representative collection of antiquities of the Harappan Civilization. Most famous among the objects is the Dancing Girl made in Bronze, Skeleton excavated from Rakhigarhi in Haryana and many more.","The blueprint for establishing the National Museum in Delhi was prepared by the Maurice Gwyer Committee in May 1946. :On August 15, 1949, the National Museum, New Delhi, was inaugurated in the Rashtrapati Bhawan by Shri R.C. Rajagopalachari, the Governor-General of India. The foundation of the present building was laid by Pandit Jawaharlal Nehru, the Prime Minister of India, on May 12, 1955. :The first phase of the National Museum building was formally inaugurated by Dr. Sarvepalli Radhakrishnan, the Vice President of India, on December 18, 1960. The second phase of the building was completed in 1989. :The National Museum was initially looked after by the Director General of Archaeology until 1957, when the Ministry of Education, Government of India, declared it a separate institution and placed it under its own direct control. At present, the National Museum is under the administrative control of the Ministry of Culture, Government of India.",https://i.imgur.com/zfCh5RG.jpg,https://i.imgur.com/zwQ4lkX.jpg https://i.imgur.com/U0iEODJ.jpg https://i.imgur.com/Vf6GmML.jpg https://i.imgur.com/68kERd6.jpg https://i.imgur.com/gqKf7do.jpg https://i.imgur.com/Ky6O5Lg.jpg https://i.imgur.com/C3v8VIc.jpg
Hauz Khas ,DL_SouthDelhi_HauzKhas,Delhi,South Delhi,Hauz Khas,28.5479,77.2031,Iconic Places,A beautiful neighbourhood of South Delhi and is one of the major tourist places in Delhi,"The pulse of Hauz Khas is known to be the historically important Hauz Khaz Complex. It exhibits both rural and urban atmosphere and also known as mehak ka chota quila. The location is surrounded by Green Park to the west and Gulmohar Park towards the north. It had witnessed different diplomatic missions like the Albania, Iraq, Guines, Burundi, Macedonia Missions and more. Its name started achieving appreciation from the outer world due to the presence of an ancient water reservoir by the same name. It is now part of the huge Hauz Khas complex.",Hauz Khas possesses the yellow line of the Delhi Metro railway and this is the easiest way to connect to Delhi’s other parts. :Hauz khas social is café-cum-restaurant-cum-co-working space.,https://i.imgur.com/inFlTMs.jpg,https://i.imgur.com/inFlTMs.jpg https://i.imgur.com/tuVtfVl.jpg https://i.imgur.com/myI4sDt.jpg https://i.imgur.com/2ZRRxiJ.jpg https://i.imgur.com/q2lN9pa.jpg https://i.imgur.com/iKkIn9F.jpg https://i.imgur.com/m7y6BVb.jpg 
National Crafts Museum,DL_SouthDelhi_NationalCraftsMuseum,Delhi,South Delhi,Pragati Maidan,28.6136,77.2425,Iconic Places,One of the largest crafts museums in India,"The National Handicrafts and Handlooms Museum (NHHM) is one of the largest crafts museums in India. Various galleries within the museum include the Tribal and Rural Craft Gallery, Gallery of Courtly Crafts, Textile Gallery, Gallery of Popular Culture etc. The museum is popular for an exhaustive collection of textiles. The museum also houses a village complex spread over 5-acre (20,000 m2), with 15 structures representing village dwellings, courtyards and shrines from different states of India, with items of day-to-day life displayed.","It was set up over a period of 30 years starting in the 1950s and 60s by the efforts of Kamaladevi Chattopadhyay, when the area was envisaged as an ethnographic space where craftsmen from various parts of India would come in to work towards preservation of various traditional arts and crafts. :By the 1980s it already had a substantial collection, and in time the museum space gradually evolved and transformed into its present shape.:Today the museum holds over 35,000 rare and distinctive pieces reflecting the continuing tradition of Indian craftsmen through painting, embroidery, textiles, various crafts of clay, stone and wood, all housed in a building designed between 1975 and 1990 by architect Charles Correa, incorporating traditional architectural vocabulary into a modern design.",https://i.imgur.com/k1CNshb.jpg,https://i.imgur.com/k1CNshb.jpg https://i.imgur.com/AMGPKYc.jpg https://i.imgur.com/xalTSub.jpg https://i.imgur.com/0Arh4pw.jpg https://i.imgur.com/vb5BPJo.jpg https://i.imgur.com/WGQsq0o.jpg https://i.imgur.com/yfubMeV.jpg https://i.imgur.com/jd2ewJr.jpg https://i.imgur.com/7N5I5Kd.jpg https://i.imgur.com/diCIigM.jpg https://i.imgur.com/LOfrq7G.jpg
Shankar’s International Dolls Museum,DL_CentralDelhi_Shankar’sInternationalDollsMuseum,Delhi,Cenral Delhi,Bahadur Shah Zafa Marg,28.63052,77.24149,Education & History,Largest Doll Museum Of India,"The collections of dolls are classified into two parts. One part consists of the dolls collected from European countries and the other section consists of dolls collected from other Asian countries.The main collections of Dolls Museum are of 150 types of Indian costume dolls created at the own workshop of the museum which is located inside the museum. The craftsmen create the dolls with utmost perfection to create a symphony of the physical features, costumes and ornaments. In the pageant are characters from India's unique classical dance, Kathakali, with its lavish costumes.","K. Shankar Pillai (1902–1989), noted cartoonist, set up Children's Book Trust, a pioneering work in the field of children's literature in India, in 1957. Later, a gift of a doll from a Hungarian diplomat gave Shankar the idea of collecting dolls from countries he visited. :Dolls Museum is one of the most renowned museums in New Delhi which has a huge collections of dolls from across the globe. :The museum covers an area of 5,184.5 square feet (481.66 m2). :The former President of India, Dr. S. Radhakrishnan inaugurated the Dolls Museum and at the inauguration time the number of dolls was only 500. :In between 1965 and in 1987, the number of dolls has risen to 5,000, a vast majority coming as gifts. Shankar Pillai was honoured with the Padma Vibhushan, India's second highest civilian award by Government of India in 1976.:Today the volume has increased to 6,500 exhibits from almost 85 countries, adding to its international character.",https://i.imgur.com/hoG69cC.jpg,https://i.imgur.com/hoG69cC.jpg https://i.imgur.com/e57eKwv.jpg https://i.imgur.com/GFYtFSo.jpg https://i.imgur.com/q54YI9l.jpg https://i.imgur.com/j6R0rUI.jpg https://i.imgur.com/RrlRGXn.jpg https://i.imgur.com/33vssKW.jpg
